iter	Passed	Remaining
660	3112	1596
661	3116	1591
662	3121	1586
663	3125	1581
664	3130	1576
665	3134	1571
666	3139	1567
667	3144	1562
668	3148	1557
669	3153	1553
670	3158	1548
671	3162	1543
672	3166	1538
673	3171	1533
674	3176	1529
675	3180	1524
676	3185	1520
677	3190	1515
678	3195	1510
679	3199	1505
680	3204	1501
681	3208	1496
682	3213	1491
683	3217	1486
684	3222	1482
685	3227	1477
686	3231	1472
687	3236	1467
688	3240	1462
689	3244	1457
690	3248	1452
691	3253	1448
692	3257	1443
693	3261	1438
694	3266	1433
695	3271	1428
696	3275	1423
697	3279	1418
698	3284	1414
699	3288	1409
700	3293	1404
701	3297	1399
702	3302	1395
703	3306	1390
704	3311	1385
705	3315	1380
706	3320	1376
707	3324	1371
708	3328	1366
709	3333	1361
710	3338	1356
711	3342	1352
712	3347	1347
713	3351	1342
714	3356	1337
715	3360	1332
716	3365	1328
717	3369	1323
718	3373	1318
719	3377	1313
720	3382	1309
721	3387	1304
722	3391	1299
723	3395	1294
724	3399	1289
725	3404	1284
726	3408	1279
727	3413	1275
728	3417	1270
729	3421	1265
730	3425	1260
731	3430	1255
732	3434	1251
733	3438	1246
734	3443	1241
735	3447	1236
736	3451	1231
737	3455	1226
738	3460	1222
739	3464	1217
740	3469	1212
741	3473	1207
742	3477	1202
743	3482	1198
744	3486	1193
745	3491	1188
746	3496	1184
747	3500	1179
748	3504	1174
749	3509	1169
750	3514	1165
751	3518	1160
752	3522	1155
753	3527	1151
754	3532	1146
755	3536	1141
756	3540	1136
757	3545	1131
758	3549	1127
759	3553	1122
760	3558	1117
761	3563	1112
762	3567	1108
763	3571	1103
764	3575	1098
765	3579	1093
766	3584	1088
767	3588	1083
768	3593	1079
769	3597	1074
770	3601	1069
771	3605	1064
772	3610	1060
773	3614	1055
774	3618	1050
775	3623	1045
776	3627	1041
777	3631	1036
778	3635	1031
779	3639	1026
780	3644	1021
781	3648	1017
782	3652	1012
783	3656	1007
784	3661	1002
785	3665	997
786	3669	993
787	3674	988
788	3678	983
789	3682	978
790	3686	974
791	3691	969
792	3696	964
793	3700	959
794	3704	955
795	3708	950
796	3712	945
797	3717	940
798	3721	936
799	3726	931
800	3730	926
801	3734	922
802	3739	917
803	3743	912
804	3747	907
805	3751	902
806	3755	898
807	3760	893
808	3764	888
809	3768	883
810	3772	879
811	3777	874
812	3781	869
813	3785	864
814	3789	860
815	3793	855
816	3797	850
817	3801	845
818	3807	841
819	3811	836
820	3816	832
821	3820	827
822	3825	822
823	3829	817
824	3833	813
825	3838	808
826	3842	803
827	3846	799
828	3851	794
829	3855	789
830	3860	785
831	3864	780
832	3868	775
833	3872	770
834	3876	766
835	3881	761
836	3885	756
837	3889	751
838	3893	747
839	3897	742
840	3902	737
841	3906	732
842	3910	728
843	3914	723
844	3919	718
845	3923	714
846	3927	709
847	3932	704
848	3936	700
849	3940	695
850	3944	690
851	3948	685
852	3953	681
853	3957	676
854	3961	671
855	3965	667
